# Darya core lexicon - B2 batch (AI scripted)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
3087|جایگزین|jāy-guzīn|noun|formal|alternative|انرژی‌های پاک جایگزین مناسبی برای نفت هستند.|inirzhī-hā-yi pāk jāy-guzīn-i munāsibē barāyi naft hastand.|Clean energies are a good alternative to oil.|Abstract Concepts|
3088|کربن‌زدایی|karbun-zadāyī|noun|formal|decarbonization|کربن‌زدایی از اقتصاد نیازمند تکنولوژی پیشرفته است.|karbun-zadāyī az iqtisād niyāzmand-i tiknōlōzhī-i pēsh-rafta ast.|Decarbonization of the economy requires advanced technology.|Abstract Concepts|
3089|توسعه نیافته|tawsi'a nā-yāfta|adjective|formal|underdeveloped|کشورهای توسعه نیافته بیشتر در معرض خطرات اقلیمی هستند.|kishwar-hā-yi tawsi'a nā-yāfta bēsh-tar dar ma'raz-i khatarāt-i iqlīmī hastand.|Underdeveloped countries are more exposed to climate risks.|Descriptions & Qualities|
3090|سازمان محیط زیست|sāzmān-i muhīt-i zīst|noun|formal|environmental agency/organization|سازمان محیط زیست قوانین جدیدی وضع کرده است.|sāzmān-i muhīt-i zīst qawānīn-i jadīdē waz' karda ast.|The environmental agency has established new laws.|Abstract Concepts|
3091|وضع کردن|waz' kardan|verb|formal|to establish/enact|دولت باید مالیات کربن وضع کند.|dawlat bāyad māliyāt-i karbun waz' kunad.|The government must enact a carbon tax.|Actions & Movement|waz' kun
3092|مالیات کربن|māliyāt-i karbun|noun|formal|carbon tax|مالیات کربن به کاهش آلودگی کمک خواهد کرد.|māliyāt-i karbun ba kāhish-i ālūdagī kumak khāhad kard.|A carbon tax will help reduce pollution.|Money & Finance|
3093|معاهده|mu'āhida|noun|formal|treaty/agreement|معاهده پاریس یک توافق جهانی برای تغییرات اقلیمی است.|mu'āhida-i pārīs yak tawāfuq-i jahānī barāyi taghyīrāt-i iqlīmī ast.|The Paris Agreement is a global treaty on climate change.|Abstract Concepts|
3094|پایبند بودن|pāy-band būdan|verb|formal|to adhere/comply|ما به اصول حفاظت از محیط زیست پایبند هستیم.|mā ba usūl-i hifāzat az muhīt-i zīst pāy-band hastēm.|We are committed to the principles of environmental protection.|Actions & Movement|pāy-band bāsh
3095|صرفه جویی|sarfa-jūyī|noun|formal|saving/conservation|صرفه جویی در مصرف آب یک وظیفه همگانی است.|sarfa-jūyī dar masraf-i āb yak wazīfa-i hamagānī ast.|Water conservation is a universal duty.|Abstract Concepts|
3096|همگانی|hamagānī|adjective|formal|public/universal|آگاهی همگانی در مورد محیط زیست در حال افزایش است.|āgāhī-i hamagānī dar mawrid-i muhīt-i zīst dar hāl-i afzāyish ast.|Public awareness about the environment is increasing.|Society & Politics|
3097|کاهش آلودگی|kāhish-i ālūdagī|noun|formal|pollution reduction|پروژه‌های کاهش آلودگی در سطح شهر آغاز شده‌اند.|purōzha-hā-yi kāhish-i ālūdagī dar sath-i shahr āghāz shuda-and.|Pollution reduction projects have started in the city.|Abstract Concepts|
3098|چرخه کربن|charkha-i karbun|noun|formal|carbon cycle|جنگل‌ها نقش مهمی در چرخه کربن دارند.|jangal-hā naqsh-i muhimmē dar charkha-i karbun dārand.|Forests play an important role in the carbon cycle.|Abstract Concepts|
3099|فتوسنتز|futūsintiz|noun|formal|photosynthesis|گیاهان از طریق فتوسنتز دی‌اکسید کربن را جذب می‌کنند.|giyāhān az tarīq-i futūsintiz dē-uksīd-i karbun rā jazb mēkunand.|Plants absorb carbon dioxide through photosynthesis.|Abstract Concepts|
3100|جذب کردن|jazb kardan|verb|formal|to absorb|خاک سالم می‌تواند مقدار زیادی آب را جذب کند.|khāk-i sālim mētawānad miqdār-i ziyādī āb rā jazb kunad.|Healthy soil can absorb a large amount of water.|Actions & Movement|jazb kun
3101|دفع کردن|daf' kardan|verb|formal|to dispose/repel|دفع زباله‌های اتمی یک چالش بزرگ است.|daf'-i zubāla-hā-yi atumī yak chālish-i buzurg ast.|Disposing of nuclear waste is a big challenge.|Actions & Movement|daf' kun
3102|آب شدن یخ‌ها|āb shudan-i yakh-hā|noun|formal|ice melting|آب شدن یخ‌ها می‌تواند مناطق ساحلی را زیر آب ببرد.|āb shudan-i yakh-hā mētawānad manātiq-i sāhilī rā zēr-i āb bibarad.|Ice melting can submerge coastal areas.|Nature & Environment|
3103|زیر آب رفتن|zēr-i āb raftan|verb|formal|to submerge/go under water|بسیاری از جزایر خطر زیر آب رفتن را حس می‌کنند.|bisyārē az jazāyir khatar-i zēr-i āb raftan rā hiss mēkunand.|Many islands feel the danger of going under water.|Food & Drink|zēr-i āb raw
3104|بالا آمدن سطح دریا|bālā āmadan-i sath-i daryā|noun|formal|sea level rise|بالا آمدن سطح دریا یک تهدید جهانی است.|bālā āmadan-i sath-i daryā yak tahdīd-i jahānī ast.|Sea level rise is a global threat.|Nature & Environment|
3105|پلاستیک یک‌بار مصرف|plāstīk-i yak-bār masraf|noun|formal|single-use plastic|بسیاری از کشورها استفاده از پلاستیک یک‌بار مصرف را ممنوع کرده‌اند.|bisyārē az kishwar-hā istifāda az plāstīk-i yak-bār masraf rā mamnū' karda-and.|Many countries have banned the use of single-use plastic.|Materials & Substances|
3106|ممنوع کردن|mamnū' kardan|verb|formal|to ban/prohibit|شکار این نوع پرنده ممنوع شده است.|shikār-i īn naw' paranda mamnū' shuda ast.|Hunting this type of bird has been banned.|Actions & Movement|mamnū' kun
3107|آلوده کردن|ālūda kardan|verb|formal|to pollute|کارخانه‌ها نباید هوای شهر را آلوده کنند.|kār-khāna-hā nabāyad hawā-yi shahr rā ālūda kunand.|Factories must not pollute the city's air.|Actions & Movement|ālūda kun
3108|محصولات زراعتی|mahsūlāt-i zirā'atī|noun|formal|agricultural products|تغییرات اقلیمی بر تولید محصولات زراعتی تأثیر منفی گذاشته است.|taghyīrāt-i iqlīmī bar tawlīd-i mahsūlāt-i zirā'atī ta'sīr-i manfī guzāshta ast.|Climate change has negatively affected the production of agricultural products.|Abstract Concepts|
3109|امنیت غذایی|amniyyat-i ghazāyī|noun|formal|food security|امنیت غذایی یکی از دغدغه‌های اصلی دولت است.|amniyyat-i ghazāyī yakī az daghdagha-hā-yi aslī-i dawlat ast.|Food security is one of the government's main concerns.|Food & Drink|
3110|دغدغه|daghdagha|noun|formal|concern/anxiety|حفظ محیط زیست باید دغدغه همه ما باشد.|hifz-i muhīt-i zīst bāyad daghdagha-i hama-i mā bāshad.|Preserving the environment must be everyone's concern.|Abstract Concepts|
3111|مدیریت منابع|mudīriyyat-i manābi'|noun|formal|resource management|مدیریت منابع آب برای جلوگیری از خشکسالی حیاتی است.|mudīriyyat-i manābi'-i āb barāyi jilaw-gīrī az khushk-sālī hayātī ast.|Water resource management is vital to prevent drought.|Abstract Concepts|
3112|حیاتی|hayātī|adjective|formal|vital/crucial|دسترسی به آب پاک یک مسئله حیاتی است.|dastrasī ba āb-i pāk yak mas'ala-i hayātī ast.|Access to clean water is a vital issue.|Descriptions & Qualities|
3113|همزیستی|ham-zīstī|noun|formal|coexistence|انسان‌ها باید همزیستی مسالمت‌آمیزی با طبیعت داشته باشند.|insān-hā bāyad ham-zīstī-i musālimat-āmēzē bā tabī'at dāshta bāshand.|Humans must have peaceful coexistence with nature.|Abstract Concepts|
3114|مسالمت‌آمیز|musālimat-āmēz|adjective|formal|peaceful|ما به یک رابطه مسالمت‌آمیز با محیط اطراف نیاز داریم.|mā ba yak rābita-i musālimat-āmēz bā muhīt-i atrāf niyāz dārēm.|We need a peaceful relationship with our surroundings.|Descriptions & Qualities|
3115|بوم‌گردی|būm-gardī|noun|formal|ecotourism|بوم‌گردی می‌تواند به اقتصاد جوامع محلی کمک کند.|būm-gardī mētawānad ba iqtisād-i jawāmi'-i mahallī kumak kunad.|Ecotourism can help the economy of local communities.|Abstract Concepts|
3116|جامعه محلی|jāmi'a-i mahallī|noun|formal|local community|مشارکت جامعه محلی در حفاظت از جنگل‌ها مهم است.|mushārikat-i jāmi'a-i mahallī dar hifāzat az jangal-hā muhimm ast.|The participation of the local community in protecting forests is important.|Abstract Concepts|
3117|کوهی|kōhī|adjective|formal|mountainous/alpine|گیاهان کوهی دارای خواص دارویی زیادی هستند.|giyāhān-i kōhī dārāyi khawās-i dārūyī-i ziyādē hastand.|Alpine plants have many medicinal properties.|Descriptions & Qualities|
3118|خواص دارویی|khawās-i dārūyī|noun|formal|medicinal properties|بسیاری از گیاهان بومی خواص دارویی دارند.|bisyārē az giyāhān-i būmī khawās-i dārūyī dārand.|Many native plants have medicinal properties.|Abstract Concepts|
3119|آلودگی صوتی|ālūdagī-i sawtī|noun|formal|noise pollution|آلودگی صوتی می‌تواند باعث استرس شود.|ālūdagī-i sawtī mētawānad bā'is-i istiris shawad.|Noise pollution can cause stress.|Abstract Concepts|
3120|تخریب لایه اوزون|takhrīb-i lāya-i ōzōn|noun|formal|ozone depletion|تخریب لایه اوزون یکی از نتایج استفاده از گازهای مخرب است.|takhrīb-i lāya-i ōzōn yakī az natāyij-i istifāda az gāz-hā-yi mukharrib ast.|Ozone depletion is a result of using destructive gases.|Abstract Concepts|
3121|مخرب|mukharrib|adjective|formal|destructive|سیلاب‌های مخرب خانه‌های بسیاری را ویران کردند.|sēlāb-hā-yi mukharrib khāna-hā-yi bisyārē rā wayrān kardand.|Destructive floods ruined many homes.|Descriptions & Qualities|
3122|ویران کردن|wayrān kardan|verb|formal|to ruin/destroy|زلزله کل روستا را ویران کرد.|zilzila kull-i rōstā rā wayrān kard.|The earthquake destroyed the whole village.|War & Conflict|wayrān kun
3123|بناهای تاریخی|banā-hā-yi tārīkhī|noun|formal|historical monuments|آلودگی هوا به بناهای تاریخی آسیب می‌رساند.|ālūdagī-i hawā ba banā-hā-yi tārīkhī āsēb mērasānad.|Air pollution damages historical monuments.|Abstract Concepts|
3124|طبیعت|tabī'at|noun|formal|nature|بازگشت به طبیعت برای آرامش روح مفید است.|bāz-gasht ba tabī'at barāyi ārāmish-i rūh mufīd ast.|Returning to nature is useful for peace of mind.|Nature & Environment|
3125|منابع تجدیدناپذیر|manābi'-i tajdīd-nā-pazīr|noun|formal|non-renewable resources|نفت و گاز منابع تجدیدناپذیر هستند.|naft wa gāz manābi'-i tajdīd-nā-pazīr hastand.|Oil and gas are non-renewable resources.|Abstract Concepts|
3126|تجدیدناپذیر|tajdīd-nā-pazīr|adjective|formal|non-renewable|استفاده از انرژی‌های تجدیدناپذیر باید محدود شود.|istifāda az inirzhī-hā-yi tajdīd-nā-pazīr bāyad mahdūd shawad.|The use of non-renewable energies must be limited.|Descriptions & Qualities|
3127|انرژی زمین‌گرمایی|inirzhī-i zamīn-garmāyī|noun|formal|geothermal energy|انرژی زمین‌گرمایی یکی از منابع پاک است.|inirzhī-i zamīn-garmāyī yakī az manābi'-i pāk ast.|Geothermal energy is one of the clean resources.|Science & Technology|
3128|هیدروالکتریک|hīdrō-iliktrīk|adjective|formal|hydroelectric|بند سلما یک پروژه هیدروالکتریک بزرگ است.|band-i salmā yak purōzha-i hīdrō-iliktrīk-i buzurg ast.|Salma Dam is a major hydroelectric project.|Descriptions & Qualities|
3129|تنوع جانوری|tanawwu'-i jānawarī|noun|formal|animal diversity|حفاظت از تنوع جانوری وظیفه مهمی است.|hifāzat az tanawwu'-i jānawarī wazīfa-i muhimmē ast.|Protecting animal diversity is an important duty.|Animals & Pets|
3130|تنوع گیاهی|tanawwu'-i giyāhī|noun|formal|plant diversity|تنوع گیاهی در این منطقه بی‌نظیر است.|tanawwu'-i giyāhī dar īn mintaqa bē-nazīr ast.|Plant diversity in this region is unique.|Nature & Environment|
3131|بی‌نظیر|bē-nazīr|adjective|formal|unique/unparalleled|افغانستان دارای مناظر طبیعی بی‌نظیری است.|afghānistān dārāyi manāzir-i tabī'ī-i bē-nazīrē ast.|Afghanistan has unparalleled natural landscapes.|Descriptions & Qualities|
3132|اکوسیستم آبی|ēkōsīstam-i ābī|noun|formal|aquatic ecosystem|آلودگی رودخانه‌ها به اکوسیستم آبی صدمه می‌زند.|ālūdagī-i rōd-khāna-hā ba ēkōsīstam-i ābī sadama mēzanad.|River pollution damages the aquatic ecosystem.|Abstract Concepts|
3133|صدمه زدن|sadama zadan|verb|formal|to damage/harm|صید بی‌رویه به جمعیت ماهیان صدمه می‌زند.|sayd-i bē-rawiya ba jam'iyyat-i māhiyān sadama mēzanad.|Overfishing harms the fish population.|Actions & Movement|sadama zan
3134|صید بی‌رویه|sayd-i bē-rawiya|noun|formal|overfishing|صید بی‌رویه بسیاری از گونه‌ها را در معرض خطر قرار داده است.|sayd-i bē-rawiya bisyārē az gūna-hā rā dar ma'raz-i khatar qarār dāda ast.|Overfishing has endangered many species.|Abstract Concepts|
3135|کاهش فقر|kāhish-i faqr|noun|formal|poverty reduction|توسعه پایدار می‌تواند به کاهش فقر کمک کند.|tawsi'a-i pāydār mētawānad ba kāhish-i faqr kumak kunad.|Sustainable development can help poverty reduction.|Abstract Concepts|
3136|محیط زیستی|muhīt-zīstī|adjective|formal|environmental|پروژه‌های محیط زیستی نیازمند بودجه هستند.|purōzha-hā-yi muhīt-zīstī niyāzmand-i būdja hastand.|Environmental projects require a budget.|Descriptions & Qualities|
3137|اختصاص دادن|ikhtisās dādan|verb|formal|to allocate|منابع بیشتری باید برای تحقیقات اختصاص داده شود.|manābi'-i bēsh-tarē bāyad barāyi tahqīqāt ikhtisās dāda shawad.|More resources must be allocated for research.|Actions & Movement|ikhtisās dih
3138|تحقیقات|tahqīqāt|noun|formal|research|تحقیقات علمی نشان می‌دهد اقلیم در حال تغییر است.|tahqīqāt-i ilmī nishān mēdihad iqlīm dar hāl-i taghyīr ast.|Scientific research shows the climate is changing.|Abstract Concepts|
3139|سیاست‌گذاری|siyāsat-guzārī|noun|formal|policymaking|سیاست‌گذاری در بخش محیط زیست باید بهبود یابد.|siyāsat-guzārī dar bakhsh-i muhīt-i zīst bāyad bihbūd yābad.|Policymaking in the environmental sector must improve.|Abstract Concepts|
3140|بهبود یافتن|bihbūd yāftan|verb|formal|to improve|وضعیت هوا در روزهای اخیر بهبود یافته است.|waz'iyyat-i hawā dar rōz-hā-yi akhīr bihbūd yāfta ast.|The air condition has improved in recent days.|Actions & Movement|bihbūd yāb
3141|فناوری پاک|fanāwarī-i pāk|noun|formal|clean technology|سرمایه‌گذاری روی فناوری پاک ضروری است.|sarmāya-guzārī rōyi fanāwarī-i pāk zarūrī ast.|Investing in clean technology is essential.|Science & Technology|
3142|تاب‌آوری|tāb-āwarī|noun|formal|resilience|افزایش تاب‌آوری در برابر بلایای طبیعی مهم است.|afzāyish-i tāb-āwarī dar barābar-i balāyā-yi tabī'ī muhimm ast.|Increasing resilience against natural disasters is important.|Abstract Concepts|
3143|بلایای طبیعی|balāyā-yi tabī'ī|noun|formal|natural disasters|زلزله و سیل از بلایای طبیعی هستند.|zilzila wa sēl az balāyā-yi tabī'ī hastand.|Earthquakes and floods are natural disasters.|Abstract Concepts|
3144|حوادث غیرمترقبه|hawādis-i ghayr-i mutaraqqiba|noun|formal|unexpected events/disasters|ما باید برای حوادث غیرمترقبه آماده باشیم.|mā bāyad barāyi hawādis-i ghayr-i mutaraqqiba āmāda bāshēm.|We must be prepared for unexpected disasters.|Abstract Concepts|
3145|آمادگی|āmādagī|noun|formal|preparedness|آمادگی در برابر زلزله می‌تواند جان انسان‌ها را نجات دهد.|āmādagī dar barābar-i zilzila mētawānad jān-i insān-hā rā najāt dihad.|Earthquake preparedness can save lives.|Abstract Concepts|
3146|نجات دادن|najāt dādan|verb|formal|to save/rescue|تیم‌های امداد صدها نفر را نجات دادند.|tīm-hā-yi imdād sad-hā nafar rā najāt dādand.|Rescue teams saved hundreds of people.|Actions & Movement|najāt dih
3147|گازهای آلاینده|gāz-hā-yi ālāyinda|noun|formal|polluting gases|کارخانه‌ها مقدار زیادی گازهای آلاینده تولید می‌کنند.|kār-khāna-hā miqdār-i ziyādī gāz-hā-yi ālāyinda tawlīd mēkunand.|Factories produce a large amount of polluting gases.|Abstract Concepts|
3148|تولید کردن|tawlīd kardan|verb|formal|to produce|ما باید انرژی بیشتری از منابع پاک تولید کنیم.|mā bāyad inirzhī-i bēsh-tarē az manābi'-i pāk tawlīd kunēm.|We must produce more energy from clean sources.|Actions & Movement|tawlīd kun
3149|آینده‌نگری|āyinda-nigarī|noun|formal|foresight|آینده‌نگری در توسعه پایدار بسیار مهم است.|āyinda-nigarī dar tawsi'a-i pāydār bisyār muhimm ast.|Foresight is very important in sustainable development.|Abstract Concepts|
3150|نقشه جغرافیایی|naqsha-i jughrāfiyāyī|noun|formal|geographical map|دانش‌آموزان روی نقشه جغرافیایی کار می‌کنند.|dānish-āmōzān rōyi naqsha-i jughrāfiyāyī kār mēkunand.|The students are working on a geographical map.|Travel & Transportation|
3151|مختصات|mukhtassāt|noun|formal|coordinates|مختصات دقیق این منطقه کوهستانی ثبت شده است.|mukhtassāt-i daqīq-i īn mintaqa-i kōhistānī sabt shuda ast.|The exact coordinates of this mountainous region have been recorded.|Abstract Concepts|
3152|ثبت شدن|sabt shudan|verb|formal|to be recorded|گرم‌ترین روز سال ثبت شد.|garm-tarīn rōz-i sāl sabt shud.|The hottest day of the year was recorded.|Actions & Movement|sabt shaw
3153|حوزه محیط زیست|hawza-i muhīt-i zīst|noun|formal|environmental sector/field|فعالان در حوزه محیط زیست تلاش زیادی می‌کنند.|fa'ālān dar hawza-i muhīt-i zīst talāsh-i ziyādē mēkunand.|Activists in the environmental sector make a lot of effort.|Abstract Concepts|
3154|طبیعی|tabī'ī|adjective|formal|natural|مواد طبیعی برای ساخت خانه‌های بوم‌گردی استفاده می‌شود.|mawād-i tabī'ī barāyi sākht-i khāna-hā-yi būm-gardī istifāda mēshawad.|Natural materials are used to build ecotourism houses.|Descriptions & Qualities|
3155|ضروری|zarūrī|adjective|formal|essential/necessary|اقدام فوری برای حفظ جنگل‌ها ضروری است.|iqdām-i fawrī barāyi hifz-i jangal-hā zarūrī ast.|Immediate action to preserve forests is essential.|Descriptions & Qualities|
3156|ناخودآگاه|nā-khud-āgāh|noun|neutral|subconscious|بسیاری از ترس‌های ما ریشه در ناخودآگاه دارند.|bisyārī az tars-hā-yi mā rēsha dar nā-khud-āgāh dārand.|Many of our fears are rooted in the subconscious.|Abstract Concepts|
3157|خودآگاه|khud-āgāh|noun|neutral|conscious|او از رفتار اشتباه خود کاملاً خودآگاه بود.|ū az raftār-i ishtibāh-i khud kāmilān khud-āgāh būd.|He was fully conscious of his wrong behavior.|Abstract Concepts|
3158|روان‌درمانی|rawān-darmānī|noun|neutral|psychotherapy|روان‌درمانی می‌تواند به حل مشکلات خانوادگی کمک کند.|rawān-darmānī mētawānad ba hall-i mushkilāt-i khānawādagī kumak kunad.|Psychotherapy can help solve family problems.|Abstract Concepts|
3159|تروما|turūmā|noun|neutral|trauma|این حادثه یک ترومای عمیق در ذهن او ایجاد کرد.|īn hādisa yak turūmā-yi amīq dar zihn-i ū ējād kard.|This incident created a deep trauma in his mind.|Abstract Concepts|
3160|عقده|uqda|noun|neutral|complex|او از کودکی عقده حقارت داشت.|ū az kōdakī uqda-yi hiqārat dāsht.|He had an inferiority complex since childhood.|Abstract Concepts|
3161|دوقطبی|du-qutbī|adjective|neutral|bipolar|بیماری دوقطبی باعث تغییرات شدید خلق و خو می‌شود.|bēmārī-yi du-qutbī bā'is-i taghyīrāt-i shadīd-i khulq wa khō mēshawad.|Bipolar disorder causes severe mood swings.|Descriptions & Qualities|
3162|روان‌رنجوری|rawān-ranjūrī|noun|neutral|neurosis|روان‌رنجوری می‌تواند کیفیت زندگی را کاهش دهد.|rawān-ranjūrī mētawānad kayfiyat-i zindagī rā kāhish dihad.|Neurosis can reduce the quality of life.|Abstract Concepts|
3163|روان‌پریشی|rawān-parēshī|noun|neutral|psychosis|تشخیص به موقع روان‌پریشی بسیار مهم است.|tashkhīs-i ba mawqi'-i rawān-parēshī bisyār muhimm ast.|Timely diagnosis of psychosis is very important.|Abstract Concepts|
3164|هوش‌بهر|hūsh-bahr|noun|neutral|IQ (intelligence quotient)|هوش‌بهر تنها معیار موفقیت نیست.|hūsh-bahr tanhā mi'yār-i muwaffaqiyat nēst.|IQ is not the only measure of success.|Abstract Concepts|
3165|ناهنجاری|nā-hanjārī|noun|neutral|abnormality|هرگونه ناهنجاری رفتاری باید بررسی شود.|har gūna nā-hanjārī-yi raftārī bāyad barrisī shawad.|Any behavioral abnormality should be investigated.|Abstract Concepts|
3166|محرک|muharrik|noun|neutral|stimulus|این تصویر یک محرک قوی برای خاطرات او بود.|īn taswīr yak muharrik-i qawī barā-yi khātirāt-i ū būd.|This image was a strong stimulus for his memories.|Abstract Concepts|
3167|شرطی‌سازی|shartī-sāzī|noun|neutral|conditioning|پاولف شرطی‌سازی کلاسیک را کشف کرد.|pāwlif shartī-sāzī-yi kilāsīk rā kashf kard.|Pavlov discovered classical conditioning.|Abstract Concepts|
3168|اختلال|ikhtilāl|noun|neutral|disorder|او دچار اختلال خواب شده است.|ū duchār-i ikhtilāl-i khwāb shuda ast.|He has developed a sleep disorder.|Abstract Concepts|
3169|حافظه|hāfiza|noun|neutral|memory|حافظه کوتاه‌مدت او ضعیف شده است.|hāfiza-yi kōtāh-muddat-i ū za'īf shuda ast.|His short-term memory has weakened.|Abstract Concepts|
3170|ادراک|idrāk|noun|neutral|perception|ادراک ما از واقعیت ممکن است متفاوت باشد.|idrāk-i mā az wāqi'iyat mumkin ast mutafāwit bāshad.|Our perception of reality might be different.|Abstract Concepts|
3171|خودشیفتگی|khud-shēftagī|noun|neutral|narcissism|خودشیفتگی مانع از دیدن اشتباهات خود می‌شود.|khud-shēftagī māni' az dīdan-i ishtibāhāt-i khud mēshawad.|Narcissism prevents seeing one's own mistakes.|Abstract Concepts|
3172|رشک|rashk|noun|neutral|envy|موفقیت او باعث رشک همکارانش شد.|muwaffaqiyat-i ū bā'is-i rashk-i hamkārānash shud.|His success caused his colleagues' envy.|Abstract Concepts|
3173|انزجار|inzijār|noun|neutral|disgust|او با انزجار به آن صحنه نگاه کرد.|ū bā inzijār ba ān sahna nigāh kard.|He looked at that scene with disgust.|Abstract Concepts|
3174|سرخوردگی|sarkhurdagī|noun|neutral|frustration|شکست‌های پی در پی باعث سرخوردگی او شد.|shikast-hā-yi pay dar pay bā'is-i sarkhurdagī-yi ū shud.|Successive failures caused his frustration.|Abstract Concepts|
3175|دلواپسی|dilwāpasī|noun|neutral|worry|مادر از تأخیر فرزندش پر از دلواپسی بود.|mādar az ta'khīr-i farzandash pur az dilwāpasī būd.|The mother was full of worry over her child's delay.|Emotions & Feelings|
3176|بی‌قراری|bē-qarārī|noun|neutral|restlessness|بی‌قراری او نشان از یک مشکل درونی داشت.|bē-qarārī-yi ū nishān az yak mushkil-i darūnī dāsht.|His restlessness indicated an inner problem.|Abstract Concepts|
3177|ملال|malāl|noun|neutral|boredom|کارهای تکراری باعث ملال می‌شود.|kār-hā-yi tikrārī bā'is-i malāl mēshawad.|Repetitive tasks cause boredom.|Abstract Concepts|
3178|دلتنگی|diltangī|noun|neutral|homesickness/nostalgia|دلتنگی برای خانواده در سفر طبیعی است.|diltangī barā-yi khānawāda dar safar tabī'ī ast.|Homesickness for family during travel is natural.|Abstract Concepts|
3179|شفقت|shafaqat|noun|neutral|compassion|باید با شفقت با حیوانات رفتار کرد.|bāyad bā shafaqat bā haywānāt raftār kard.|One should treat animals with compassion.|Abstract Concepts|
3180|کلافگی|kalāfagī|noun|neutral|annoyance/frustration|ترافیک سنگین باعث کلافگی رانندگان شد.|tarāfīk-i sangīn bā'is-i kalāfagī-yi rānandagān shud.|Heavy traffic caused the drivers' frustration.|Abstract Concepts|
3181|حقارت|hiqārat|noun|neutral|humiliation|او هرگز حاضر به پذیرش حقارت نبود.|ū hargiz hāzir ba pazīrish-i hiqārat nabūd.|He was never willing to accept humiliation.|Abstract Concepts|
3182|خرسندی|khursandī|noun|neutral|contentment|لبخند او نشان از خرسندی عمیق داشت.|labkhand-i ū nishān az khursandī-yi amīq dāsht.|His smile indicated deep contentment.|Abstract Concepts|
3183|سردرگمی|sardargumī|noun|neutral|confusion|دستورالعمل‌های متناقض باعث سردرگمی شد.|dastūrul'amal-hā-yi mutanāqiz bā'is-i sardargumī shud.|Contradictory instructions caused confusion.|Abstract Concepts|
3184|سوگ|sōg|noun|neutral|mourning|آنها در سوگ از دست دادن دوست خود هستند.|ānhā dar sōg-i az dast dādan-i dōst-i khud hastand.|They are in mourning for the loss of their friend.|Abstract Concepts|
3185|دلسردی|dilsardī|noun|neutral|discouragement|این انتقادات نباید باعث دلسردی شما شود.|īn intiqādāt nabāyad bā'is-i dilsardī-yi shumā shawad.|These criticisms should not cause your discouragement.|Abstract Concepts|
3186|شیفتگی|shēftagī|noun|neutral|fascination|شیفتگی او به هنر از کودکی آغاز شد.|shēftagī-yi ū ba hunar az kōdakī āghāz shud.|His fascination with art began in childhood.|Abstract Concepts|
3187|تعارض|ta'āruz|noun|neutral|conflict|بین خواسته‌های آنها تعارض وجود دارد.|bayn-i khwāsta-hā-yi ānhā ta'āruz wujūd dārad.|There is a conflict between their desires.|Society & Politics|
3188|مشاجره|mushājara|noun|neutral|argument/quarrel|مشاجره لفظی بین دو راننده بالا گرفت.|mushājara-yi lafzī bayn-i du rānanda bālā girift.|A verbal argument escalated between the two drivers.|Abstract Concepts|
3189|خصومت|khusūmat|noun|neutral|hostility|هیچ خصومتی بین ما وجود ندارد.|hēch khusūmatī bayn-i mā wujūd nadārad.|There is no hostility between us.|Abstract Concepts|
3190|کنایه|kināya|noun|neutral|sarcasm|او همیشه با کنایه صحبت می‌کند.|ū hamēsha bā kināya suhbat mēkunad.|He always speaks with sarcasm.|Abstract Concepts|
3191|خیانت|khiyānat|noun|neutral|betrayal|خیانت به اعتماد دیگران کار بسیار زشتی است.|khiyānat ba i'timād-i dīgarān kār-i bisyār zishtī ast.|Betrayal of others' trust is a very ugly act.|Abstract Concepts|
3192|پیش‌داوری|pēsh-dāwarī|noun|neutral|prejudice|پیش‌داوری مانع از درک حقیقت می‌شود.|pēsh-dāwarī māni' az dark-i haqīqat mēshawad.|Prejudice prevents understanding the truth.|Abstract Concepts|
3193|تحقیر|tahqīr|noun|neutral|belittling/humiliation|تحقیر دیگران نشان‌دهنده ضعف شخصیت است.|tahqīr-i dīgarān nishān-dihanda-yi zu'f-i shakhsiyat ast.|Belittling others shows weakness of character.|Abstract Concepts|
3194|پرخاشگری|parkhāshgarī|noun|neutral|aggression|کودکانی که پرخاشگری می‌کنند نیاز به کمک دارند.|kōdakānī ki parkhāshgarī mēkunand niyāz ba kumak dārand.|Children who show aggression need help.|Abstract Concepts|
3195|تهاجم|tahājum|noun|neutral|invasion/attack|آن کشور در برابر تهاجم دشمن مقاومت کرد.|ān kishwar dar barābar-i tahājum-i dushman muqāwamat kard.|That country resisted the enemy's invasion.|War & Conflict|
3196|مقاومت|muqāwamat|noun|neutral|resistance|مردم در برابر ظلم مقاومت نشان دادند.|mardum dar barābar-i zulm muqāwamat nishān dādand.|The people showed resistance against oppression.|Abstract Concepts|
3197|تسلیم|taslīm|noun|neutral|submission/surrender|آنها در نهایت تسلیم نیروهای پلیس شدند.|ānhā dar nihāyat taslīm-i nērō-hā-yi pulīs shudand.|They finally surrendered to the police forces.|Abstract Concepts|
3198|سلطه|sulta|noun|neutral|dominance|تلاش برای سلطه بر دیگران عواقب بدی دارد.|talāsh barā-yi sulta bar dīgarān awāqib-i badī dārad.|Striving for dominance over others has bad consequences.|Abstract Concepts|
3199|تحریک|tahrīk|noun|neutral|provocation|او با تحریک دیگران دعوا راه انداخت.|ū bā tahrīk-i dīgarān da'wā rāh andākht.|He started a fight by provoking others.|Abstract Concepts|
